id,text,vector_embedding
1,"THE OCCUPATIONAL SAFETY, HEALTH AND WORKING
CONDITIONS CODE, 2019
——————
ARRANGEMENT OF CLAUSES
——————
CHAPTER I
PRELIMINARY
CLAUSES","[-0.04877913370728493, 0.04946785420179367, 0.03929765149950981, -0.029185879975557327, 0.007611200213432312, 0.10013081878423691, 0.02889963798224926, 0.05626819282770157, -0.12837840616703033, 0.019005699083209038, 0.057444993406534195, 0.012562447227537632, 0.007248944602906704, -0.04039955139160156, 0.00016606791177764535, 0.014190317131578922, -0.01595156453549862, 0.027158347889780998, -0.01007066760212183, 0.010136745870113373, 0.03936188295483589, 0.11947008222341537, -0.04207080230116844, 0.005958594847470522, -0.05976700782775879, 0.05159343406558037, 0.045402150601148605, 0.02124859392642975, 0.04804443195462227, 0.053368888795375824, 0.014371314086019993, 0.049664732068777084, 0.00902681052684784, 0.08078137785196304, 0.05767081677913666, -0.05048585683107376, 0.04286838322877884, -0.04345716908574104, -0.03978214040398598, 0.03208820894360542, -0.03095639869570732, -0.055161718279123306, 0.01487807184457779, 1.1407127203710843e-05, -4.891808202955872e-05, 0.021020567044615746, -0.0366501621901989, -0.003983429167419672, -0.03177076205611229, -0.013119768351316452, -0.07575932890176773, -0.0027597532607614994, 0.028683168813586235, 0.041070859879255295, 0.028981996700167656, -0.06926779448986053, -0.04660830646753311, -0.0715131014585495, -0.06478720903396606, 0.05877608433365822, 0.030578890815377235, -0.019053194671869278, -0.04226364567875862, 0.030406570062041283, 0.10075541585683823, -0.020661836490035057, -0.01959647797048092, -0.09885796904563904, -0.007811235263943672, 0.07313136756420135, -0.09485012292861938, -0.09386378526687622, -0.0856955274939537, 0.017849162220954895, -0.01045616902410984, 0.014431861229240894, 0.02047065459191799, -0.04906114190816879, 0.07699250429868698, -0.1509292870759964, -0.06775718927383423, -0.018499081954360008, 0.019587425515055656, 0.023267939686775208, -0.04339725896716118, -0.01579240895807743, -0.01490920502692461, 0.03126274421811104, 0.04372343793511391, -0.009111817926168442, 0.009457791224122047, -0.07653865218162537, 0.01961379684507847, 0.013641336001455784, 0.013183847069740295, 0.034817151725292206, -0.04494529217481613, 0.033398132771253586, 0.001016198773868382, 0.03705911338329315, -0.011045307852327824, -0.04291984438896179, -0.03377513587474823, 0.010787048377096653, -0.08087392151355743, -0.03373490646481514, 0.035503238439559937, -0.02000730112195015, -0.026463257148861885, 0.013692484237253666, 0.05914246290922165, 0.019574977457523346, 0.04535255953669548, -0.061478570103645325, -0.04053695872426033, 0.05455544590950012, 0.024079106748104095, 0.04105484485626221, 0.07388956844806671, 0.034394893795251846, 0.05101140961050987, 0.042482830584049225, -0.05099295452237129, -0.025972852483391762, -0.022599369287490845, -0.08601044863462448, 0.02986839786171913, -9.558480151149613e-33, 0.04891515523195267, -0.018245987594127655, 0.0191287100315094, 0.005426021292805672, 0.06280400604009628, 0.04936785250902176, 0.016843613237142563, -0.05025821551680565, 0.028111178427934647, 0.09381000697612762, -0.010125413537025452, -0.0261505339294672, -0.048848096281290054, -0.0022564500104635954, -0.021070584654808044, 0.0466126948595047, -0.00013110572763253003, 0.038287293165922165, -0.04743540659546852, 0.07327062636613846, 0.005719627719372511, -0.10213451832532883, -0.04491826519370079, 0.0906798467040062, -0.0854690670967102, 0.06939869374036789, -0.0105733098462224, -0.02275262027978897, 0.022548986598849297, 0.02291511930525303, 0.012481908313930035, 0.03476310893893242, -0.0430922657251358, -0.00490190414711833, -0.014592782594263554, 0.09790295362472534, -0.07849384844303131, -0.014125625602900982, 0.01164203230291605, 0.0016429396346211433, -0.050624895840883255, -0.003705039154738188, 0.05866553634405136, -0.009272727183997631, 0.10117409378290176, -0.06309586018323898, -0.05581187456846237, 0.020403161644935608, 0.02507588639855385, 0.10087212920188904, -0.01948493905365467, -0.0006003585876896977, 0.08311840891838074, -0.10789162665605545, 0.03424809128046036, 0.037491314113140106, -0.04971134290099144, 0.06701380759477615, 0.02867608144879341, 0.09773150086402893, -0.029191164299845695, 0.02300945669412613, -0.018424512818455696, 0.005141725763678551, 0.00659129349514842, -0.041928116232156754, 0.02028682269155979, -0.030650777742266655, 0.08817511051893234, -0.08327095955610275, -0.036376431584358215, 0.0536344051361084, 0.02786293253302574, -0.010939535684883595, -0.0730833187699318, 0.047214575111866, 0.03420089930295944, -0.01944177784025669, -0.0386660136282444, -0.07569343596696854, -0.022950883954763412, 0.05677923187613487, 0.015943218022584915, 0.04723440855741501, 0.07839808613061905, 0.028664710000157356, 0.030095525085926056, 0.02662118338048458, -0.05148563161492348, 0.02859017811715603, 0.04544693976640701, -0.0228378027677536, 0.06464282423257828, 0.049185529351234436, 0.0665023997426033, 5.776043489366767e-33, 0.018893497064709663, -0.01139987725764513, -0.06395149976015091, -0.11311200261116028, -0.007713092025369406, -0.05763948708772659, 0.044856853783130646, -0.05224306508898735, 0.008738073520362377, 0.02366018481552601, 0.004546130076050758, -0.08403720706701279, -0.012950005941092968, -0.04125204682350159, 0.012664249166846275, 0.06255967915058136, -0.033469025045633316, 0.06717285513877869, -0.06590600311756134, 0.07456006854772568, 0.04778531566262245, 0.04857752099633217, -0.03218229487538338, 0.11551493406295776, -0.0675554871559143, 0.046372491866350174, 0.001423899084329605, -0.05502299219369888, -0.03218768164515495, -0.02405489608645439, -0.03548980504274368, -0.04518591985106468, -0.07992779463529587, 0.03210751339793205, 0.010347929783165455, -0.14110584557056427, -0.015248322859406471, -0.07013671845197678, -0.014600643888115883, -0.02370022051036358, 0.09337564557790756, 0.0023354303557425737, 0.054077956825494766, 0.10284765809774399, -0.005707196891307831, -0.04367252066731453, 0.025898747146129608, -0.09431218355894089, -0.07887101173400879, -0.02264491841197014, 0.04874562472105026, -0.013361403718590736, -0.00716960895806551, -0.023082293570041656, 0.011294101364910603, -0.002127914223819971, -0.005989174358546734, -0.10671630501747131, -0.039515987038612366, -0.0050994399935007095, 0.043350085616111755, 0.07551688700914383, -0.015659594908356667, 0.09213194251060486, 0.03662146255373955, -0.08741536736488342, -0.07844462245702744, -0.03238924220204353, 0.04003865644335747, 0.017270199954509735, -0.09117672592401505, -0.04915058985352516, -0.05574532970786095, -0.06615667045116425, 0.033784590661525726, -0.036838140338659286, 0.019742721691727638, 0.03939979523420334, -0.12041862308979034, 0.02564491331577301, 0.0032239998690783978, -0.0004002978967037052, -0.0335763655602932, 0.11601901799440384, 0.03405075520277023, 0.005779304075986147, 0.026136891916394234, -0.020363491028547287, -0.004009392112493515, 0.058309055864810944, -0.09843569248914719, 0.05496339499950409, -0.023601975291967392, 0.009791690856218338, -0.04492584615945816, -2.8396835105581886e-08, 0.016221463680267334, 0.057565171271562576, -0.06983629614114761, -0.0618600957095623, -0.03484177589416504, -0.06686221063137054, 0.027450019493699074, -0.010206667706370354, -0.0375308021903038, 0.08435649424791336, 0.07217524945735931, 0.04145330935716629, 0.063449427485466, -0.006890528369694948, 0.013099436648190022, -0.0069594853557646275, -0.026316076517105103, -0.017109300941228867, -0.05462398752570152, 0.0016113310120999813, -0.011629954911768436, 0.009311661124229431, -0.05840989947319031, -0.0033393981866538525, -0.015861202031373978, 0.05805756896734238, 0.008024335838854313, 0.078727588057518, 0.010448135435581207, 0.1444384753704071, -0.008546224795281887, 0.051201920956373215, -0.03666301816701889, -0.03109319508075714, -0.06723599135875702, -0.10864010453224182, 0.06546671688556671, -0.022552788257598877, -0.0016682507703080773, -0.11857762187719345, 0.002801330992951989, 0.03067745268344879, 0.01038000825792551, 0.059593938291072845, 0.07735497504472733, -0.09209787845611572, -0.04488711804151535, 0.015074933879077435, -0.004809489008039236, -0.058778997510671616, -0.02445167303085327, -0.045858852565288544, 0.056382957845926285, 0.005147498566657305, -0.02536032162606716, 0.08966576308012009, 0.06063024699687958, -0.01763693057000637, -0.08427586406469345, -0.04537934064865112, 0.048601359128952026, 0.07533621042966843, 0.023427749052643776, 0.0029200150165706873]"
2,"1. Short title, extent, commencement and application.","[0.01688457280397415, 0.10851479321718216, 0.10849916189908981, -0.033802635967731476, -0.006429290398955345, 0.07952621579170227, 0.016299095004796982, 0.029612915590405464, -0.07089509814977646, -0.02482539601624012, 0.029350455850362778, -0.0036548441275954247, 0.038779664784669876, -0.09679856151342392, 0.006674029398709536, 0.030087880790233612, -0.0025415481068193913, -0.05363785848021507, 0.01933763548731804, 0.04132389277219772, 0.12914448976516724, 0.05805778503417969, -0.03178806230425835, 0.03559638932347298, 0.0017003155080601573, 0.0010680462000891566, -0.008384442888200283, 0.07001342624425888, 0.09315225481987, -0.016025850549340248, 0.0071859052404761314, 0.08726691454648972, 0.015180443413555622, 0.10580138117074966, 0.07532985508441925, 0.023545507341623306, 0.022364269942045212, -0.004429245367646217, 0.046505194157361984, -0.01391623169183731, -0.0014292862033471465, -0.07092579454183578, -0.014641000889241695, 0.09680165350437164, 0.03539970889687538, -0.05750308558344841, 0.027227044105529785, -0.013153709471225739, -0.044282037764787674, -0.01652710884809494, -0.08724271506071091, -0.013605323620140553, -0.03734108433127403, -0.002488630823791027, -0.013821621425449848, 0.07001224905252457, -0.10726428776979446, -0.031730830669403076, -0.014988328330218792, 0.038803581148386, -0.0496862418949604, 0.0017644661711528897, -0.07132983207702637, 0.05848062038421631, 0.06943539530038834, -0.03460846096277237, 0.00037468367372639477, -0.042145613580942154, -0.018721699714660645, 0.03663933649659157, -0.051786553114652634, -0.006572785321623087, -0.07966984808444977, 0.09031118452548981, -0.06930891424417496, -0.08262664824724197, -0.021660571917891502, 0.0453612394630909, 1.8540780729381368e-05, -0.08167415112257004, -0.016175610944628716, -0.08487090468406677, -0.024936188012361526, -0.007744790054857731, -0.050752703100442886, -0.012814430519938469, -0.024281654506921768, -0.08101293444633484, -0.01850701868534088, 0.009695411659777164, 0.021118875592947006, -0.20023898780345917, 0.06531045585870743, 0.07476916909217834, 0.0033431260380893946, -0.010800850577652454, -0.055588383227586746, -0.08059865981340408, 0.07232538610696793, 0.06061498448252678, -0.017003661021590233, -0.022986937314271927, -0.061853162944316864, 0.011560192331671715, -0.07187729328870773, -0.07211374491453171, -0.03657441586256027, -0.07708243280649185, -0.02908109687268734, -0.03953779861330986, 0.0005698396707884967, -0.03717466816306114, 0.036844998598098755, -0.02113850601017475, 0.010419905185699463, 0.09690047800540924, 0.009424836374819279, 0.030050545930862427, 0.05012667551636696, -0.023182176053524017, 0.03439922630786896, 0.04535587877035141, -0.011222406290471554, -0.04380468279123306, -0.11795162409543991, -0.1420840322971344, 0.0019477909663692117, -4.1299671584996397e-33, -0.007878577336668968, -0.02114185504615307, -0.008247424848377705, 0.09375112503767014, 0.0034081123303622007, 0.01585753820836544, -0.021334849298000336, 0.011243321932852268, -0.06094014644622803, 0.018676308915019035, 0.008539781905710697, -0.01888876035809517, 0.012275339104235172, -0.0010055790189653635, 0.018075570464134216, -0.0012195305898785591, 0.04449807107448578, 0.172041118144989, -0.002671430353075266, 0.09208397567272186, 0.0458051972091198, 0.024285292252898216, 0.007157434243708849, 0.017618542537093163, 0.04609258100390434, -0.022925447672605515, -0.037556350231170654, 0.006571794394403696, -0.0064799296669662, 0.02632083371281624, 0.0401783250272274, -0.035846322774887085, -0.06566927582025528, -0.002456267597153783, 0.0786280483007431, 0.028224844485521317, 0.014196068979799747, -0.020560014992952347, 0.025510987266898155, -0.03941953554749489, -0.04433819651603699, 0.02253875322639942, 0.03060234524309635, -0.010181307792663574, 0.039725884795188904, -0.07595769315958023, 0.006534968037158251, 0.029073331505060196, 0.0534338504076004, 0.08093545585870743, 0.03801450505852699, -0.008135596290230751, 0.029153451323509216, -0.034255530685186386, 0.07701514661312103, 0.052606597542762756, -0.08112264424562454, 0.09078718721866608, -0.04501603916287422, -0.00700394157320261, -0.06109245866537094, 0.010305865667760372, -0.08401048183441162, 0.01329120434820652, 0.03236064314842224, -0.01601598411798477, -0.05138470605015755, -0.07388035207986832, 0.12543390691280365, -0.10628581047058105, -0.028610210865736008, -0.0615471675992012, 0.02238602191209793, 0.009182940237224102, 0.026698894798755646, 0.04261786863207817, -0.009275333024561405, 0.007242171559482813, 0.015285083092749119, -0.02495500072836876, -0.050678350031375885, -0.0021574548445641994, 0.014864875003695488, 0.03620804846286774, 0.016423143446445465, -0.0021564848721027374, 0.05714268237352371, -0.05634816735982895, 0.0034278668463230133, 0.004351066425442696, 0.018922531977295876, 0.0064733740873634815, -0.03759695962071419, 0.02289668284356594, 0.05999818071722984, 5.099210005210618e-34, 0.11335823684930801, -0.015324688516557217, -0.10368357598781586, -0.04932640865445137, -0.007203192450106144, 0.016608616337180138, 0.027939671650528908, 0.039796650409698486, -0.08468739688396454, -0.07023297995328903, -0.02709389105439186, -0.017192309722304344, 0.043962568044662476, -0.015476729720830917, -0.08033981174230576, 0.02138347364962101, 0.04046996310353279, -0.022174319252371788, -0.02268015220761299, 0.11330737173557281, 0.022269360721111298, 0.012659125961363316, -0.038888558745384216, -0.049726735800504684, 0.04455362632870674, -0.021968916058540344, 0.015485839918255806, 0.005241507198661566, -0.029543813318014145, -0.003275519236922264, -0.01428848598152399, -0.058048274368047714, -0.17067857086658478, 0.021478066220879555, -0.0038951223250478506, -0.06303609162569046, 0.06301899999380112, -0.07993977516889572, -0.0008975283708423376, 0.04340719059109688, 0.059018176048994064, -0.022692443802952766, 0.10864753276109695, 0.07719140499830246, -0.025971345603466034, -0.04619394987821579, 0.02222365327179432, 0.01914469338953495, 0.00552705954760313, -0.009976459667086601, -0.15407387912273407, -0.01878271996974945, 0.029338069260120392, -0.009840062819421291, 0.02888348512351513, -0.013702161610126495, -0.009310238063335419, -0.015076982788741589, -0.011735951527953148, -0.003372922306880355, 0.038901444524526596, 0.058855559676885605, -0.055331312119960785, -0.01644701510667801, 0.017065199092030525, -0.08817450702190399, -0.02881474420428276, 0.07242530584335327, -0.023595018312335014, -0.04050189256668091, -0.010370569303631783, -0.08792426437139511, -0.04176906868815422, -0.07375645637512207, -0.038278743624687195, 0.07324933260679245, 0.05069424957036972, 0.025877276435494423, -0.06527255475521088, -0.048713263124227524, -0.038802217692136765, -0.005870013497769833, -0.08131309598684311, 0.014206498861312866, -0.00408626114949584, -0.048511844128370285, 0.06147807464003563, -0.0010263872100040317, 0.05035161226987839, 0.059815239161252975, 0.020902425050735474, 0.03331516683101654, 0.03553740680217743, -0.016789637506008148, -0.06498780846595764, -2.1020523988113382e-08, -0.059534307569265366, 0.015661507844924927, -0.032669615000486374, 0.016901183873414993, 0.059391990303993225, 0.008177638985216618, 0.011227082461118698, -0.0015688439598307014, -0.0008697521989233792, 0.03856131061911583, -0.041353486478328705, 0.06823167949914932, -0.039240989834070206, -0.00979909859597683, 0.008267397060990334, 0.02571715973317623, -0.001057275803759694, 0.005073574837297201, -0.03389350324869156, 0.0020908459555357695, -0.05187002569437027, -0.006385148968547583, -0.019403040409088135, -0.05195017531514168, -0.03445553034543991, 0.06382359564304352, 0.0001984395203180611, -0.026001250371336937, 0.033414099365472794, 0.09353510290384293, 0.02185409888625145, 0.1437232941389084, -0.015759820118546486, -0.024091104045510292, -0.05128534883260727, -0.04281110689043999, 0.05119796097278595, 0.03733624890446663, 0.07237321138381958, -0.05217341333627701, 0.010554684326052666, 0.02126838080585003, 0.01075034774839878, 0.056411683559417725, 0.07733379304409027, -0.011400939896702766, -0.0008191810920834541, 0.029498662799596786, -0.005574110895395279, -0.04906225949525833, -0.05282141640782356, -0.043810565024614334, 0.012165972031652927, -0.031204838305711746, 0.008721071295440197, 0.15171028673648834, 0.04827896133065224, 0.012427392415702343, -0.05996713787317276, -0.035256050527095795, 0.03710288181900978, 0.07338022440671921, -0.0347173735499382, -0.0008368977578356862]"
3,"5. Notice by employer of commencement and cessation of operation.
CHAPTER III
DUTIES OF EMPLOYER AND EMPLOYEES, ETC.","[-0.04337005689740181, 0.03634021803736687, 0.09449638426303864, -0.0008692152332514524, 0.017811261117458344, 0.06456192582845688, 0.028924252837896347, -0.0980096235871315, -0.03132886439561844, -0.008016655221581459, 0.0678321123123169, 0.0338560976088047, -0.022570166736841202, -0.05799328535795212, -0.010773759335279465, -0.0019104318926110864, 0.0059961420483887196, -0.015111020766198635, 0.010284746065735817, -0.054593537002801895, 0.10391977429389954, 0.08942850679159164, -0.014755692332983017, 0.10358066111803055, -0.0063124001026153564, 0.015155056491494179, 0.024054890498518944, 0.02576044574379921, 0.04208163917064667, -0.009215692058205605, -0.020144622772932053, 0.009604529477655888, -0.03204311430454254, -0.009953832253813744, 0.06007976084947586, 0.03914618864655495, 0.08791009336709976, -0.06504476070404053, 0.045808251947164536, -0.0019062216160818934, 0.005338758695870638, -0.036170948296785355, -0.019728682935237885, 0.03203602880239487, 0.029405010864138603, 0.033478688448667526, -0.023609910160303116, -0.036873869597911835, -0.03679129108786583, 0.0455041266977787, -0.003988257609307766, -0.06815759092569351, 0.0028692567721009254, 0.0330166332423687, -0.011766117066144943, -0.012501321732997894, 0.012438035570085049, -0.1124524250626564, -0.013417989946901798, 0.027766507118940353, -0.028793569654226303, -0.02356138452887535, -0.036730311810970306, -0.0063543072901666164, 0.02412654273211956, -0.04678921401500702, 0.04401848837733269, -0.1303202211856842, -0.03688548505306244, 0.03153861686587334, -0.08684659749269485, -0.09654094278812408, -0.03792935609817505, 0.029480164870619774, -0.05165356025099754, 0.01288342010229826, 0.02950422838330269, 0.06144266575574875, -0.027472220361232758, -0.13046512007713318, -0.06203998997807503, 0.013045311905443668, 0.02326320856809616, 0.0019903015345335007, -0.06639329344034195, -0.04820160195231438, -0.029538912698626518, -0.008782956749200821, 0.06663790345191956, 0.026306500658392906, 0.03883766010403633, -0.051575060933828354, -0.013886865228414536, 0.0061494396068155766, -0.0088350810110569, 0.0056646340526640415, -0.042494259774684906, -0.02148033306002617, 0.05107025057077408, 0.05344855412840843, 0.022829866036772728, -0.0013667545281350613, -0.050722066313028336, 0.015572612173855305, -0.0993838906288147, -0.027597786858677864, -0.04014446213841438, -0.052603352814912796, -0.042063578963279724, -0.049629028886556625, -0.014629927463829517, -0.043447814881801605, -0.02245970442891121, -0.0387149341404438, -0.01603538915514946, 0.1465638428926468, -0.005408464465290308, 0.05228717625141144, 0.09949129819869995, -0.04570095241069794, 0.050911661237478256, 0.015237977728247643, -0.04772256314754486, -0.038305021822452545, -0.09835033863782883, -0.08694648742675781, 0.03997736796736717, -1.849082184873221e-33, 0.0947139635682106, -0.05546857416629791, -0.038325995206832886, 0.06753431260585785, 0.03508811816573143, 0.020178504288196564, -0.035204850137233734, -0.040954411029815674, 0.015837710350751877, 0.00021441331773530692, -0.031053688377141953, -0.06128746643662453, 0.03247085586190224, -0.03909944370388985, -0.023137662559747696, -0.05643070116639137, 0.06494683772325516, 0.09468887001276016, 0.03840194270014763, 0.052015263587236404, 0.10290161520242691, -0.05663289502263069, -0.06364698708057404, 0.030554497614502907, 0.03585357964038849, 0.061781901866197586, -0.040147148072719574, 0.018594902008771896, -0.03260572999715805, 0.03771620988845825, 0.05894549936056137, 0.032579127699136734, 0.031475979834795, -0.05610762909054756, 0.0011366477701812983, 0.08054681122303009, -0.07003771513700485, -0.0052168117836117744, 0.01338919810950756, -0.03361347317695618, 0.04440937936306, 0.010131845250725746, 0.03274109959602356, -0.022127222269773483, 0.017578018829226494, -0.03342920169234276, 0.04513980448246002, 0.0287364162504673, 0.14055176079273224, 0.064251609146595, 0.054456304758787155, -0.021986115723848343, 0.0712098628282547, -0.06423033773899078, 0.07133660465478897, 0.008705925196409225, -0.04549162834882736, 0.09278076887130737, -0.02421613596379757, -0.024291176348924637, -0.07489784061908722, 0.040357958525419235, -0.0029199609998613596, 0.04261574149131775, 0.046259064227342606, -0.03202270343899727, -0.029624253511428833, 0.00595711637288332, 0.06255023181438446, -0.09487872570753098, -0.022975478321313858, 0.016959991306066513, 0.037928760051727295, -0.01178493071347475, -0.05933251976966858, 0.0308790635317564, -0.02523718774318695, 0.02804640121757984, 0.05562553554773331, -0.03286582976579666, -0.015337076969444752, -0.018142113462090492, -0.008598282001912594, 0.010307726450264454, 0.1030062735080719, 0.03591976314783096, 0.09999018162488937, -0.010418925434350967, -0.019812611863017082, 0.051410045474767685, 0.062317270785570145, 0.03152836486697197, 0.04681337624788284, 0.049118656665086746, -0.0011177202686667442, -1.9106900274708095e-33, 0.07739108800888062, -0.005203310865908861, -0.04657946527004242, -0.07280350476503372, -0.07360910624265671, 0.009032917208969593, 0.023940451443195343, 0.0052013699896633625, -0.15014412999153137, -0.0383516326546669, -0.0007994481711648405, -0.07201411575078964, -0.03436707332730293, 0.032038718461990356, -0.062226515263319016, 0.007781339343637228, 0.046371497213840485, -0.02258899435400963, -0.02966734953224659, 0.09433241933584213, 0.07927737385034561, -0.03648986294865608, 0.00962002296000719, -0.001481535960920155, -0.02687329240143299, -0.00690640090033412, 0.025572489947080612, 0.016324058175086975, -0.02887650392949581, -0.012244624085724354, -0.058959685266017914, -0.04417707398533821, -0.10440107434988022, 0.0774901807308197, 0.05761953815817833, -0.12305609881877899, 0.030289137735962868, 0.03025575913488865, -0.03494524583220482, 0.07652643322944641, 0.07186222076416016, 0.03891826048493385, 0.03995097056031227, 0.09062070399522781, -0.04447328671813011, -0.018947958946228027, 0.04045011103153229, 0.0038314773701131344, -0.07493171840906143, 0.013574693351984024, -0.081776462495327, -0.0671856626868248, 0.047217123210430145, -0.014537806622684002, -0.027332933619618416, 0.0118548683822155, -0.002359893172979355, -0.05981631949543953, 0.009021659381687641, 0.022944750264286995, 0.046840257942676544, 0.004119654651731253, 0.013765783049166203, 0.026480479165911674, 0.027286406606435776, -0.06793933361768723, 0.03937803953886032, 0.06903461366891861, 0.059524476528167725, 0.018816916272044182, -0.03149377927184105, -0.11042501777410507, -0.037241071462631226, -0.11331500858068466, 0.033631887286901474, -0.04348846524953842, -0.006837241351604462, -0.005010848864912987, -0.14198286831378937, -0.0009888242930173874, 0.039510663598775864, 0.0129893459379673, -0.07307544350624084, 0.05118145793676376, 0.008736149407923222, -0.05906715989112854, 0.05277857184410095, 0.03462088108062744, 0.06662988662719727, 0.04688185453414917, -0.04728642478585243, 0.001673871767707169, -0.031392745673656464, 0.018462732434272766, -0.02142801135778427, -2.742759264151573e-08, -0.04933422803878784, 0.04458741471171379, -0.021636027842760086, -0.05975867807865143, 0.060469936579465866, -0.10649992525577545, 0.022488556802272797, -0.029292279854416847, -0.012206966057419777, 0.021194618195295334, 0.01658361218869686, -0.012861213646829128, -0.005004727281630039, -0.03674192354083061, 0.05456693470478058, 0.036222267895936966, -0.017111390829086304, -0.06063242629170418, -0.0247868150472641, -0.031222593039274216, -0.07871811091899872, -0.055840104818344116, 0.024731721729040146, -0.03054838813841343, 0.018609920516610146, 0.08269980549812317, 0.009064503014087677, 0.03704391047358513, 0.07692321389913559, 0.09420929104089737, -0.02098079025745392, 0.06985486298799515, 0.07551181316375732, -0.04144841805100441, -0.032029736787080765, -0.034670718014240265, 0.018499325960874557, -0.055450908839702606, 0.03236475586891174, -0.08574280142784119, -0.04112536460161209, 0.03986893594264984, 0.03269367292523384, 0.07262327522039413, 0.03642050549387932, -0.06476657092571259, -0.09086737036705017, 0.05598829686641693, -0.07755637913942337, -0.11754589527845383, -0.06501646339893341, -0.05109282582998276, 0.028253786265850067, 0.0812622681260109, -0.03324276581406593, 0.029308224096894264, 0.025836367160081863, -0.044485244899988174, -0.07721535116434097, -0.038911618292331696, 0.06097816675901413, 0.01800413802266121, 0.01889612339437008, -0.06568733602762222]"
